ex_t_menhir_l_01	E 22 5
h2o_all_lev-2	E 22 -4
h2o_all_lev+0	E 21 5
blue coast ref 1024	E 21 4
ex_barnacles_02	E 21 4
ex_barnacles_03	E 21 4
flora_kelp_01	E 21 4
flora_kelp_02	E 21 4
flora_kelp_03	E 21 4
flora_kelp_04	E 21 4
in_cave_plant00	E 21 4
kollop_02_pearl	E 21 4
kollop_03_pearl	E 21 4
h2o_all_lev+2	E 21 3
kollop_01_pearl	E 21 3
ex_t_rock_coastal_01	E 21 -4
ex_t_rock_coastal_02	E 21 -4
ex_t_menhir_01	E 21 -7
ex_shore_all_lev-2	E 20 5
ex_shore_cliffracer_lev+2	E 20 5
flora_kreshweed_01	E 20 5
flora_muckspunge_01	E 20 5
flora_muckspunge_03	E 20 5
flora_muckspunge_04	E 20 5
flora_saltrice_01	E 20 5
flora_saltrice_02	E 20 5
h2o_slaughterfish	E 20 5
terrain_rock_ac_04	E 20 5
terrain_rock_ac_08	E 20 5
terrain_rock_ac_12	E 20 5
ex_dae_buttress_ruin_01	E 20 4
ex_dae_pillar_02	E 20 4
ex_dae_pillar_02_ruin	E 20 4
ex_dae_pillar_03	E 20 4
ex_dae_wall_512_01	E 20 4
ex_dae_wall_512_02	E 20 4
ex_dae_wall_512_04	E 20 4
ex_dae_wall_512_06	E 20 4
ex_dae_wall_512_09	E 20 4
ex_daed_pillar_claw_01	E 20 4
ex_shore_cliffracer_lev+0	E 20 4
ex_velothi_entrance_02	E 20 4
ex_velothi_loaddoor_01	E 20 4
flora_kreshweed_03	E 20 4
flora_marshmerrow_01	E 20 4
flora_marshmerrow_02	E 20 4
flora_marshmerrow_03	E 20 4
flora_muckpod_04	E 20 4
flora_muckpod_05	E 20 4
flora_t_podbud_03	E 20 4
mudcrab	E 20 4
skeleton entrance	E 20 4
terrain_rock_ac_02	E 20 4
terrain_rock_ac_10	E 20 4
terrain_rock_ac_11	E 20 4
ex_dae_ruin_03	E 20 3
ex_shore_all_lev+2	E 20 1
ex_wild_netch_lev+0	E 20 1
ex_wild_netch_lev+2	E 20 1
ex_shore_cliffracer_lev-2	E 20 -1
ex_shore_mudcrab	E 20 -4
flora_emp_parasol_01	E 20 -4
flora_t_podbud_01	E 20 -4
flora_t_podbud_02	E 20 -4
terrain_rock_ac_09	E 20 -4
in_velothismall_ndoor_01	E 19 7
cliff racer	E 19 6
ex_de_ship_cabindoor	E 19 6
ex_de_ship_trapdoor	E 19 6
ex_de_shipwreck	E 19 6
slaughterfish	E 19 6
ex_azurascoast_lev+0	E 19 5
flora_emp_parasol_03	E 19 5
ex_dae_claw_01	E 19 4
ex_dae_claw_02	E 19 4
ex_dae_door_static	E 19 4
ex_dae_pillar_01	E 19 4
ex_dae_pillar_02_ruin_02	E 19 4
ex_dae_ruin_01	E 19 4
ex_dae_ruin_02_skew	E 19 4
ex_dae_ruin_04_skew_01	E 19 4
ex_dae_ruin_entry.max	E 19 4
ex_dae_ruin_platform_01	E 19 4
ex_dae_ruin_stair01_short	E 19 4
ex_dae_wall_512_03	E 19 4
ex_dae_wall_512_05	E 19 4
flora_emp_parasol_02	E 19 4
flora_muckspunge_02	E 19 4
flora_t_podbud_04	E 19 4
flora_tree_ac_01	E 19 4
flora_tree_ac_02	E 19 4
flora_tree_ac_03	E 19 4
flora_tree_ac_04	E 19 4
in_dae_all_lev+2	E 19 4
in_dae_mezzanine_edge	E 19 4
in_dae_platform_stairs	E 19 4
in_dae_rubble_01a	E 19 4
in_dae_rubble_01b	E 19 4
in_dae_rubble_01c	E 19 4
in_dae_rubble_03b	E 19 4
in_dae_rubble_05	E 19 4
in_dae_rubble_06	E 19 4
in_dae_rubble_07	E 19 4
terrain_rock_ac_03	E 19 4
terrain_rock_ac_07	E 19 4
ex_azurascoast_lev+2	E 19 3
ex_dae_ruin_02	E 19 3
flora_kreshweed_02	E 19 3
terrain_rock_ac_06	E 19 3
flora_black_anther_01	E 19 1
flora_black_anther_02	E 19 1
flora_gold_kanet_01	E 19 1
flora_gold_kanet_02	E 19 1
flora_t_mushroom_02	E 19 1
flora_muckspunge_05	E 19 0
ex_shore_all_lev+0	E 19 -2
door_cavern_doors10	E 19 -3
ex_cave_entrance_ac_01	E 19 -3
ex_wild_netch_lev-1	E 19 -3
ex_holamayan_01	E 19 -4
ex_holamayan_cover_01	E 19 -4
ex_wild_rat_lev+0	E 19 -4
ex_wild_rat_lev+2	E 19 -4
flora_stoneflower_01	E 19 -4
